,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Waste,Wind Onshore
2020-10-01 01:00:00+03:00,649.0,463.0,147.0,0.0,300.0,751.0,2260.0,50.0,26.0,0.0,490.0
2020-10-01 02:00:00+03:00,649.0,456.0,146.0,0.0,299.0,662.0,2260.0,50.0,26.0,0.0,431.0
2020-10-01 03:00:00+03:00,656.0,463.0,147.0,0.0,304.0,715.0,2260.0,50.0,25.0,0.0,368.0
2020-10-01 04:00:00+03:00,653.0,465.0,146.0,0.0,302.0,784.0,2260.0,50.0,26.0,0.0,333.0
2020-10-01 05:00:00+03:00,653.0,580.0,152.0,0.0,320.0,997.0,2261.0,50.0,26.0,0.0,312.0
2020-10-01 06:00:00+03:00,652.0,673.0,206.0,0.0,419.0,1328.0,2261.0,50.0,26.0,0.0,283.0
2020-10-01 07:00:00+03:00,660.0,672.0,269.0,0.0,477.0,1711.0,2261.0,50.0,26.0,0.0,240.0
2020-10-01 08:00:00+03:00,654.0,671.0,324.0,1.0,507.0,2016.0,2262.0,50.0,25.0,0.0,196.0
2020-10-01 09:00:00+03:00,646.0,674.0,326.0,0.0,532.0,2058.0,2262.0,50.0,26.0,0.0,178.0
2020-10-01 10:00:00+03:00,639.0,675.0,324.0,0.0,502.0,2078.0,2261.0,50.0,25.0,0.0,189.0
2020-10-01 11:00:00+03:00,651.0,673.0,326.0,0.0,480.0,2020.0,2260.0,47.0,26.0,0.0,138.0
2020-10-01 12:00:00+03:00,659.0,675.0,299.0,0.0,454.0,1998.0,2259.0,45.0,26.0,0.0,102.0
2020-10-01 13:00:00+03:00,680.0,661.0,274.0,0.0,409.0,1993.0,2198.0,41.0,27.0,0.0,111.0
2020-10-01 14:00:00+03:00,707.0,651.0,242.0,0.0,397.0,1903.0,2260.0,41.0,27.0,0.0,114.0
2020-10-01 15:00:00+03:00,702.0,647.0,241.0,0.0,393.0,1873.0,2261.0,41.0,28.0,0.0,107.0
2020-10-01 16:00:00+03:00,709.0,652.0,242.0,0.0,401.0,1863.0,2260.0,41.0,27.0,0.0,117.0
2020-10-01 17:00:00+03:00,710.0,653.0,242.0,1.0,433.0,1857.0,2261.0,44.0,27.0,0.0,141.0
2020-10-01 18:00:00+03:00,695.0,656.0,250.0,0.0,478.0,1799.0,2261.0,44.0,27.0,0.0,231.0
2020-10-01 19:00:00+03:00,695.0,668.0,336.0,0.0,518.0,1789.0,2260.0,46.0,25.0,0.0,406.0
2020-10-01 20:00:00+03:00,705.0,674.0,343.0,0.0,461.0,1789.0,2260.0,47.0,26.0,0.0,538.0
2020-10-01 21:00:00+03:00,707.0,619.0,239.0,0.0,344.0,1474.0,2260.0,48.0,25.0,0.0,582.0
2020-10-01 22:00:00+03:00,701.0,517.0,178.0,0.0,274.0,1099.0,2261.0,50.0,26.0,0.0,596.0
2020-10-01 23:00:00+03:00,698.0,460.0,115.0,0.0,190.0,807.0,2261.0,50.0,25.0,0.0,606.0
2020-10-02 00:00:00+03:00,701.0,460.0,107.0,0.0,186.0,640.0,2261.0,50.0,26.0,0.0,630.0
2020-10-02 01:00:00+03:00,714.0,456.0,107.0,0.0,185.0,638.0,2262.0,52.0,27.0,0.0,619.0
2020-10-02 02:00:00+03:00,717.0,450.0,106.0,0.0,186.0,653.0,2261.0,57.0,26.0,0.0,591.0
2020-10-02 03:00:00+03:00,719.0,451.0,105.0,0.0,187.0,648.0,2262.0,57.0,26.0,0.0,535.0
2020-10-02 04:00:00+03:00,700.0,450.0,106.0,0.0,188.0,784.0,2261.0,57.0,27.0,0.0,514.0
2020-10-02 05:00:00+03:00,695.0,502.0,110.0,0.0,194.0,929.0,2262.0,57.0,26.0,0.0,579.0
2020-10-02 06:00:00+03:00,666.0,646.0,121.0,0.0,212.0,1220.0,2262.0,57.0,26.0,0.0,747.0
2020-10-02 07:00:00+03:00,669.0,684.0,126.0,0.0,226.0,1433.0,2261.0,57.0,25.0,0.0,950.0
2020-10-02 08:00:00+03:00,688.0,678.0,126.0,0.0,242.0,1604.0,2261.0,56.0,26.0,0.0,974.0
2020-10-02 09:00:00+03:00,717.0,664.0,129.0,0.0,261.0,1714.0,2261.0,51.0,25.0,0.0,915.0
2020-10-02 10:00:00+03:00,735.0,664.0,129.0,0.0,267.0,1834.0,2260.0,49.0,26.0,0.0,769.0
2020-10-02 11:00:00+03:00,742.0,672.0,131.0,0.0,247.0,1835.0,2259.0,43.0,26.0,0.0,543.0
2020-10-02 12:00:00+03:00,744.0,677.0,130.0,0.0,217.0,1802.0,2261.0,41.0,27.0,0.0,383.0
2020-10-02 13:00:00+03:00,722.0,679.0,131.0,0.0,213.0,1735.0,2261.0,41.0,26.0,0.0,310.0
2020-10-02 14:00:00+03:00,688.0,673.0,130.0,0.0,208.0,1719.0,2260.0,39.0,26.0,0.0,299.0
2020-10-02 15:00:00+03:00,659.0,681.0,131.0,0.0,205.0,1586.0,2261.0,38.0,26.0,0.0,285.0
2020-10-02 16:00:00+03:00,638.0,679.0,131.0,0.0,202.0,1642.0,2261.0,38.0,26.0,0.0,337.0
2020-10-02 17:00:00+03:00,617.0,675.0,131.0,0.0,201.0,1659.0,2259.0,41.0,26.0,0.0,509.0
2020-10-02 18:00:00+03:00,617.0,677.0,133.0,0.0,204.0,1541.0,2260.0,44.0,27.0,0.0,922.0
2020-10-02 19:00:00+03:00,619.0,677.0,144.0,0.0,228.0,1584.0,2262.0,47.0,26.0,0.0,1316.0
2020-10-02 20:00:00+03:00,656.0,661.0,145.0,0.0,218.0,1316.0,2262.0,47.0,26.0,0.0,1434.0
2020-10-02 21:00:00+03:00,683.0,469.0,123.0,0.0,195.0,930.0,2260.0,50.0,26.0,0.0,1505.0
2020-10-02 22:00:00+03:00,682.0,462.0,109.0,0.0,182.0,816.0,2260.0,50.0,26.0,0.0,1493.0
2020-10-02 23:00:00+03:00,691.0,456.0,107.0,0.0,176.0,721.0,2259.0,52.0,26.0,0.0,1498.0
2020-10-03 00:00:00+03:00,695.0,425.0,106.0,0.0,178.0,606.0,2260.0,57.0,27.0,0.0,1453.0
2020-10-03 01:00:00+03:00,698.0,344.0,106.0,0.0,172.0,617.0,2260.0,57.0,26.0,0.0,1372.0
2020-10-03 02:00:00+03:00,696.0,333.0,106.0,0.0,169.0,560.0,2260.0,57.0,26.0,0.0,1357.0
2020-10-03 03:00:00+03:00,690.0,334.0,106.0,0.0,171.0,576.0,2260.0,59.0,27.0,0.0,1338.0
2020-10-03 04:00:00+03:00,694.0,319.0,106.0,0.0,170.0,593.0,2260.0,60.0,27.0,0.0,1343.0
2020-10-03 05:00:00+03:00,690.0,323.0,106.0,0.0,170.0,593.0,2260.0,60.0,26.0,0.0,1360.0
2020-10-03 06:00:00+03:00,686.0,335.0,106.0,0.0,170.0,629.0,2260.0,60.0,26.0,0.0,1374.0
2020-10-03 07:00:00+03:00,691.0,354.0,106.0,0.0,176.0,708.0,2260.0,60.0,26.0,0.0,1285.0
2020-10-03 08:00:00+03:00,686.0,390.0,106.0,0.0,180.0,798.0,2260.0,60.0,26.0,0.0,1156.0
2020-10-03 09:00:00+03:00,686.0,401.0,106.0,0.0,178.0,1051.0,2259.0,58.0,26.0,0.0,1012.0
2020-10-03 10:00:00+03:00,688.0,439.0,108.0,0.0,184.0,1264.0,2259.0,46.0,26.0,0.0,850.0
2020-10-03 11:00:00+03:00,672.0,441.0,108.0,0.0,182.0,1339.0,2261.0,47.0,25.0,0.0,746.0
2020-10-03 12:00:00+03:00,666.0,447.0,108.0,0.0,179.0,1280.0,2261.0,47.0,26.0,0.0,702.0
2020-10-03 13:00:00+03:00,653.0,447.0,108.0,0.0,175.0,1057.0,2261.0,43.0,26.0,0.0,635.0
2020-10-03 14:00:00+03:00,660.0,445.0,108.0,0.0,172.0,1001.0,2261.0,41.0,26.0,0.0,553.0
2020-10-03 15:00:00+03:00,660.0,452.0,108.0,0.0,167.0,1031.0,2261.0,41.0,26.0,0.0,562.0
2020-10-03 16:00:00+03:00,651.0,456.0,108.0,0.0,170.0,1201.0,2261.0,41.0,26.0,0.0,636.0
2020-10-03 17:00:00+03:00,651.0,455.0,108.0,0.0,183.0,1254.0,2261.0,42.0,26.0,0.0,774.0
2020-10-03 18:00:00+03:00,659.0,452.0,108.0,0.0,184.0,1190.0,2261.0,44.0,26.0,0.0,1124.0
2020-10-03 19:00:00+03:00,678.0,444.0,108.0,0.0,168.0,1241.0,2260.0,47.0,26.0,0.0,1408.0
2020-10-03 20:00:00+03:00,684.0,427.0,108.0,0.0,163.0,1041.0,2262.0,47.0,26.0,0.0,1518.0
2020-10-03 21:00:00+03:00,693.0,402.0,108.0,0.0,159.0,793.0,2262.0,47.0,26.0,0.0,1527.0
2020-10-03 22:00:00+03:00,682.0,393.0,108.0,0.0,155.0,729.0,2263.0,49.0,26.0,0.0,1494.0
2020-10-03 23:00:00+03:00,684.0,405.0,107.0,0.0,155.0,677.0,2263.0,50.0,26.0,0.0,1466.0
2020-10-04 00:00:00+03:00,670.0,343.0,107.0,0.0,154.0,547.0,2263.0,50.0,26.0,0.0,1427.0
2020-10-04 01:00:00+03:00,675.0,340.0,107.0,0.0,155.0,540.0,2263.0,50.0,26.0,0.0,1400.0
2020-10-04 02:00:00+03:00,677.0,338.0,107.0,0.0,155.0,495.0,2263.0,50.0,27.0,0.0,1421.0
2020-10-04 03:00:00+03:00,683.0,344.0,107.0,0.0,169.0,489.0,2263.0,50.0,27.0,0.0,1449.0
2020-10-04 04:00:00+03:00,685.0,341.0,107.0,0.0,174.0,484.0,2263.0,50.0,26.0,0.0,1494.0
2020-10-04 05:00:00+03:00,675.0,342.0,107.0,0.0,170.0,470.0,2263.0,50.0,26.0,0.0,1501.0
2020-10-04 06:00:00+03:00,675.0,345.0,107.0,0.0,171.0,486.0,2264.0,50.0,26.0,0.0,1477.0
2020-10-04 07:00:00+03:00,677.0,342.0,107.0,0.0,173.0,544.0,2264.0,50.0,26.0,0.0,1471.0
2020-10-04 08:00:00+03:00,674.0,335.0,107.0,0.0,173.0,633.0,2264.0,50.0,26.0,0.0,1444.0
2020-10-04 09:00:00+03:00,675.0,340.0,107.0,0.0,169.0,707.0,2264.0,50.0,26.0,0.0,1386.0
2020-10-04 10:00:00+03:00,677.0,350.0,107.0,0.0,163.0,754.0,2264.0,50.0,26.0,0.0,1276.0
2020-10-04 11:00:00+03:00,671.0,344.0,107.0,0.0,163.0,756.0,2264.0,48.0,26.0,0.0,1195.0
2020-10-04 12:00:00+03:00,673.0,342.0,107.0,0.0,160.0,873.0,2264.0,47.0,26.0,0.0,1052.0
2020-10-04 13:00:00+03:00,673.0,341.0,107.0,0.0,158.0,858.0,2264.0,44.0,26.0,0.0,1034.0
2020-10-04 14:00:00+03:00,674.0,337.0,107.0,0.0,159.0,803.0,2263.0,44.0,26.0,0.0,1045.0
2020-10-04 15:00:00+03:00,664.0,340.0,107.0,0.0,158.0,717.0,2263.0,44.0,26.0,0.0,1111.0
2020-10-04 16:00:00+03:00,664.0,331.0,107.0,0.0,162.0,714.0,2263.0,44.0,26.0,0.0,1215.0
2020-10-04 17:00:00+03:00,664.0,334.0,107.0,0.0,160.0,748.0,2263.0,44.0,25.0,0.0,1295.0
2020-10-04 18:00:00+03:00,665.0,411.0,107.0,0.0,159.0,840.0,2263.0,46.0,26.0,0.0,1481.0
2020-10-04 19:00:00+03:00,669.0,429.0,107.0,0.0,172.0,1119.0,2263.0,47.0,26.0,0.0,1634.0
2020-10-04 20:00:00+03:00,664.0,436.0,107.0,0.0,175.0,1302.0,2262.0,47.0,26.0,0.0,1688.0
2020-10-04 21:00:00+03:00,680.0,431.0,107.0,0.0,175.0,1068.0,2260.0,47.0,26.0,0.0,1656.0
2020-10-04 22:00:00+03:00,673.0,422.0,107.0,0.0,171.0,825.0,2261.0,49.0,26.0,0.0,1626.0
2020-10-04 23:00:00+03:00,675.0,377.0,107.0,0.0,166.0,664.0,2260.0,50.0,26.0,0.0,1591.0
2020-10-05 00:00:00+03:00,676.0,352.0,107.0,0.0,165.0,569.0,2261.0,50.0,26.0,0.0,1581.0
2020-10-05 01:00:00+03:00,666.0,347.0,107.0,0.0,157.0,506.0,2261.0,50.0,26.0,0.0,1560.0
2020-10-05 02:00:00+03:00,667.0,347.0,107.0,0.0,155.0,498.0,2261.0,50.0,25.0,0.0,1511.0
2020-10-05 03:00:00+03:00,675.0,352.0,107.0,0.0,158.0,545.0,2262.0,50.0,26.0,0.0,1476.0
2020-10-05 04:00:00+03:00,685.0,354.0,107.0,0.0,154.0,518.0,2261.0,50.0,25.0,0.0,1383.0
2020-10-05 05:00:00+03:00,685.0,359.0,113.0,0.0,155.0,660.0,2261.0,50.0,25.0,0.0,1283.0
2020-10-05 06:00:00+03:00,683.0,444.0,122.0,0.0,163.0,817.0,2261.0,50.0,25.0,0.0,1271.0
2020-10-05 07:00:00+03:00,678.0,566.0,131.0,0.0,189.0,1550.0,2261.0,50.0,25.0,0.0,1254.0
2020-10-05 08:00:00+03:00,658.0,632.0,131.0,0.0,234.0,1829.0,2261.0,48.0,26.0,0.0,1223.0
2020-10-05 09:00:00+03:00,649.0,663.0,131.0,20.0,250.0,2004.0,2262.0,45.0,26.0,0.0,1178.0
2020-10-05 10:00:00+03:00,646.0,665.0,130.0,9.0,243.0,1995.0,2262.0,42.0,26.0,0.0,1146.0
2020-10-05 11:00:00+03:00,629.0,658.0,159.0,1.0,234.0,1841.0,2261.0,42.0,26.0,0.0,1150.0
2020-10-05 12:00:00+03:00,639.0,637.0,163.0,1.0,229.0,1776.0,2260.0,42.0,25.0,0.0,1211.0
2020-10-05 13:00:00+03:00,634.0,599.0,159.0,8.0,237.0,1791.0,2259.0,41.0,26.0,0.0,1207.0
2020-10-05 14:00:00+03:00,644.0,611.0,155.0,0.0,231.0,1775.0,2259.0,41.0,25.0,0.0,1168.0
2020-10-05 15:00:00+03:00,652.0,640.0,127.0,0.0,220.0,1667.0,2260.0,41.0,26.0,0.0,1080.0
2020-10-05 16:00:00+03:00,653.0,648.0,120.0,0.0,230.0,1769.0,2260.0,41.0,26.0,0.0,965.0
2020-10-05 17:00:00+03:00,643.0,650.0,123.0,0.0,242.0,1825.0,2260.0,41.0,26.0,0.0,877.0
2020-10-05 18:00:00+03:00,644.0,651.0,147.0,0.0,257.0,1940.0,2261.0,44.0,27.0,0.0,823.0
2020-10-05 19:00:00+03:00,645.0,654.0,167.0,0.0,274.0,2121.0,2262.0,46.0,26.0,0.0,803.0
2020-10-05 20:00:00+03:00,643.0,657.0,165.0,0.0,254.0,1925.0,2261.0,47.0,26.0,0.0,867.0
2020-10-05 21:00:00+03:00,657.0,567.0,130.0,1.0,220.0,1527.0,2262.0,47.0,26.0,0.0,888.0
2020-10-05 22:00:00+03:00,651.0,485.0,130.0,1.0,198.0,1147.0,2261.0,49.0,25.0,0.0,887.0
2020-10-05 23:00:00+03:00,649.0,468.0,120.0,1.0,182.0,860.0,2261.0,50.0,26.0,0.0,823.0
2020-10-06 00:00:00+03:00,652.0,468.0,110.0,1.0,180.0,729.0,2262.0,50.0,26.0,0.0,726.0
2020-10-06 01:00:00+03:00,648.0,470.0,108.0,1.0,170.0,806.0,2262.0,50.0,25.0,0.0,707.0
2020-10-06 02:00:00+03:00,655.0,455.0,108.0,1.0,167.0,758.0,2262.0,50.0,26.0,0.0,696.0
2020-10-06 03:00:00+03:00,649.0,415.0,108.0,1.0,166.0,752.0,2262.0,50.0,26.0,0.0,705.0
2020-10-06 04:00:00+03:00,656.0,417.0,109.0,1.0,164.0,711.0,2262.0,50.0,26.0,0.0,728.0
2020-10-06 05:00:00+03:00,653.0,438.0,120.0,1.0,163.0,845.0,2262.0,50.0,27.0,0.0,740.0
2020-10-06 06:00:00+03:00,649.0,500.0,130.0,1.0,174.0,1328.0,2262.0,50.0,26.0,0.0,818.0
2020-10-06 07:00:00+03:00,656.0,614.0,130.0,1.0,194.0,1621.0,2261.0,50.0,26.0,0.0,964.0
2020-10-06 08:00:00+03:00,656.0,628.0,130.0,1.0,223.0,1917.0,2261.0,50.0,26.0,0.0,1056.0
2020-10-06 09:00:00+03:00,656.0,629.0,130.0,60.0,214.0,1978.0,2262.0,48.0,24.0,0.0,1076.0
2020-10-06 10:00:00+03:00,657.0,647.0,130.0,1.0,222.0,2052.0,2262.0,47.0,24.0,0.0,1177.0
2020-10-06 11:00:00+03:00,656.0,617.0,130.0,1.0,218.0,1979.0,2263.0,46.0,26.0,0.0,1241.0
2020-10-06 12:00:00+03:00,657.0,546.0,131.0,1.0,209.0,1875.0,2262.0,44.0,25.0,0.0,1347.0
2020-10-06 13:00:00+03:00,660.0,514.0,131.0,1.0,213.0,1793.0,2261.0,44.0,26.0,0.0,1477.0
2020-10-06 14:00:00+03:00,657.0,516.0,130.0,1.0,215.0,1657.0,2262.0,44.0,25.0,0.0,1562.0
2020-10-06 15:00:00+03:00,646.0,518.0,131.0,1.0,209.0,1474.0,2261.0,44.0,25.0,0.0,1608.0
2020-10-06 16:00:00+03:00,637.0,525.0,130.0,1.0,212.0,1425.0,2261.0,44.0,26.0,0.0,1659.0
2020-10-06 17:00:00+03:00,621.0,523.0,130.0,1.0,217.0,1541.0,2261.0,44.0,27.0,0.0,1685.0
2020-10-06 18:00:00+03:00,620.0,509.0,131.0,1.0,225.0,1810.0,2260.0,45.0,26.0,0.0,1717.0
2020-10-06 19:00:00+03:00,626.0,503.0,130.0,1.0,239.0,2009.0,2260.0,47.0,26.0,0.0,1714.0
2020-10-06 20:00:00+03:00,614.0,502.0,130.0,1.0,242.0,1815.0,2262.0,47.0,27.0,0.0,1658.0
2020-10-06 21:00:00+03:00,606.0,478.0,130.0,1.0,216.0,1278.0,2261.0,47.0,27.0,0.0,1605.0
2020-10-06 22:00:00+03:00,601.0,472.0,123.0,1.0,200.0,1085.0,2261.0,47.0,27.0,0.0,1560.0
2020-10-06 23:00:00+03:00,598.0,444.0,114.0,1.0,183.0,888.0,2262.0,47.0,27.0,0.0,1488.0
2020-10-07 00:00:00+03:00,595.0,426.0,107.0,1.0,178.0,685.0,2261.0,47.0,27.0,0.0,1461.0
2020-10-07 01:00:00+03:00,607.0,431.0,107.0,1.0,179.0,627.0,2261.0,47.0,26.0,0.0,1441.0
2020-10-07 02:00:00+03:00,603.0,441.0,107.0,1.0,175.0,578.0,2262.0,47.0,26.0,0.0,1407.0
2020-10-07 03:00:00+03:00,617.0,446.0,107.0,1.0,175.0,583.0,2262.0,47.0,27.0,0.0,1360.0
2020-10-07 04:00:00+03:00,619.0,451.0,107.0,1.0,179.0,601.0,2261.0,47.0,27.0,0.0,1289.0
2020-10-07 05:00:00+03:00,621.0,457.0,112.0,1.0,183.0,721.0,2261.0,47.0,27.0,0.0,1315.0
2020-10-07 06:00:00+03:00,634.0,537.0,120.0,1.0,197.0,1188.0,2261.0,50.0,26.0,0.0,1320.0
2020-10-07 07:00:00+03:00,625.0,659.0,130.0,1.0,242.0,1628.0,2260.0,50.0,26.0,0.0,1339.0
2020-10-07 08:00:00+03:00,627.0,666.0,141.0,1.0,293.0,1869.0,2260.0,50.0,25.0,0.0,1317.0
2020-10-07 09:00:00+03:00,626.0,666.0,140.0,2.0,312.0,2072.0,2260.0,48.0,26.0,0.0,1219.0
2020-10-07 10:00:00+03:00,628.0,662.0,141.0,2.0,297.0,2106.0,2260.0,46.0,27.0,0.0,1195.0
2020-10-07 11:00:00+03:00,632.0,672.0,142.0,1.0,295.0,2007.0,2260.0,47.0,26.0,0.0,1140.0
2020-10-07 12:00:00+03:00,635.0,678.0,142.0,1.0,287.0,1978.0,2260.0,46.0,27.0,0.0,1122.0
2020-10-07 13:00:00+03:00,624.0,687.0,139.0,4.0,251.0,1925.0,2261.0,48.0,26.0,0.0,1057.0
2020-10-07 14:00:00+03:00,640.0,701.0,133.0,3.0,222.0,1944.0,2260.0,46.0,26.0,0.0,957.0
2020-10-07 15:00:00+03:00,651.0,706.0,126.0,3.0,225.0,1794.0,2260.0,47.0,27.0,0.0,978.0
2020-10-07 16:00:00+03:00,662.0,688.0,113.0,10.0,231.0,1673.0,2260.0,52.0,27.0,0.0,997.0
2020-10-07 17:00:00+03:00,668.0,669.0,115.0,10.0,270.0,1735.0,2260.0,55.0,27.0,0.0,1064.0
2020-10-07 18:00:00+03:00,682.0,673.0,147.0,11.0,286.0,2038.0,2259.0,55.0,27.0,0.0,1175.0
2020-10-07 19:00:00+03:00,670.0,655.0,149.0,11.0,304.0,2241.0,2260.0,55.0,27.0,0.0,1277.0
2020-10-07 20:00:00+03:00,660.0,640.0,140.0,1.0,277.0,2140.0,2261.0,48.0,24.0,0.0,1295.0
2020-10-07 21:00:00+03:00,667.0,525.0,107.0,0.0,231.0,1539.0,2261.0,47.0,27.0,0.0,1236.0
2020-10-07 22:00:00+03:00,637.0,478.0,107.0,0.0,219.0,1237.0,2261.0,47.0,27.0,0.0,1133.0
2020-10-07 23:00:00+03:00,639.0,448.0,107.0,0.0,208.0,1009.0,2262.0,47.0,26.0,0.0,1046.0
2020-10-08 00:00:00+03:00,637.0,444.0,107.0,0.0,203.0,749.0,2261.0,47.0,26.0,0.0,968.0
2020-10-08 01:00:00+03:00,641.0,435.0,107.0,0.0,201.0,727.0,2262.0,47.0,27.0,0.0,875.0
2020-10-08 02:00:00+03:00,633.0,433.0,108.0,0.0,190.0,741.0,2262.0,47.0,26.0,0.0,865.0
2020-10-08 03:00:00+03:00,626.0,432.0,108.0,0.0,187.0,776.0,2261.0,47.0,27.0,0.0,864.0
2020-10-08 04:00:00+03:00,620.0,430.0,107.0,0.0,187.0,776.0,2262.0,47.0,27.0,0.0,870.0
2020-10-08 05:00:00+03:00,615.0,449.0,113.0,0.0,187.0,870.0,2262.0,47.0,28.0,0.0,922.0
2020-10-08 06:00:00+03:00,624.0,585.0,117.0,0.0,194.0,1214.0,2263.0,47.0,26.0,0.0,902.0
2020-10-08 07:00:00+03:00,623.0,613.0,134.0,0.0,238.0,1819.0,2262.0,47.0,27.0,0.0,932.0
2020-10-08 08:00:00+03:00,613.0,611.0,153.0,0.0,283.0,2104.0,2263.0,47.0,27.0,0.0,989.0
2020-10-08 09:00:00+03:00,624.0,612.0,155.0,1.0,285.0,2141.0,2263.0,48.0,24.0,0.0,1097.0
2020-10-08 10:00:00+03:00,620.0,614.0,155.0,28.0,305.0,2166.0,2262.0,53.0,27.0,0.0,1036.0
2020-10-08 11:00:00+03:00,628.0,613.0,133.0,8.0,307.0,2125.0,2262.0,55.0,27.0,0.0,988.0
2020-10-08 12:00:00+03:00,614.0,610.0,124.0,10.0,302.0,2094.0,2262.0,56.0,26.0,0.0,1000.0
2020-10-08 13:00:00+03:00,618.0,598.0,116.0,10.0,296.0,2002.0,2261.0,56.0,26.0,0.0,972.0
2020-10-08 14:00:00+03:00,619.0,614.0,111.0,12.0,290.0,1985.0,2262.0,56.0,27.0,0.0,931.0
2020-10-08 15:00:00+03:00,622.0,620.0,109.0,3.0,284.0,1744.0,2262.0,47.0,27.0,0.0,920.0
2020-10-08 16:00:00+03:00,632.0,624.0,108.0,0.0,292.0,1697.0,2262.0,45.0,27.0,0.0,911.0
